LAST SEEN   TYPE      REASON             OBJECT                              MESSAGE
34m         Normal    Scheduled          pod/curl-runner-65d77865d8-2lv4s    Successfully assigned bench/curl-runner-65d77865d8-2lv4s to ocibench-control-plane
34m         Warning   Evicted            pod/curl-runner-65d77865d8-ts5hj    The node had condition: [DiskPressure].
34m         Warning   Evicted            pod/curl-runner-65d77865d8-gr6wf    The node had condition: [DiskPressure].
34m         Warning   Evicted            pod/curl-runner-65d77865d8-gclrl    The node had condition: [DiskPressure].
34m         Warning   Evicted            pod/curl-runner-65d77865d8-mzzcr    The node had condition: [DiskPressure].
34m         Warning   Evicted            pod/curl-runner-65d77865d8-2lv4s    The node had condition: [DiskPressure].
34m         Normal    Scheduled          pod/curl-runner-65d77865d8-gr6wf    Successfully assigned bench/curl-runner-65d77865d8-gr6wf to ocibench-control-plane
24m         Warning   FailedScheduling   pod/curl-runner-65d77865d8-4bgnl    0/1 nodes are available: 1 node(s) had untolerated taint(s). no new claims to deallocate, preemption: 0/1 nodes are available: 1 Preemption is not helpful for scheduling.
23m         Normal    Scheduled          pod/curl-runner-65d77865d8-4bgnl    Successfully assigned bench/curl-runner-65d77865d8-4bgnl to ocibench-control-plane
23m         Normal    Pulling            pod/curl-runner-65d77865d8-4bgnl    Pulling image "curlimages/curl:8.9.1"
23m         Normal    Created            pod/curl-runner-65d77865d8-4bgnl    Container created
23m         Normal    Pulled             pod/curl-runner-65d77865d8-4bgnl    Successfully pulled image "curlimages/curl:8.9.1" in 921ms (3.828s including waiting). Image size: 9384907 bytes.
23m         Normal    Started            pod/curl-runner-65d77865d8-4bgnl    Container started
21m         Normal    Scheduled          pod/v2-ours-90-1                    Successfully assigned bench/v2-ours-90-1 to ocibench-control-plane
21m         Normal    Pulling            pod/v2-ours-90-1                    Pulling image "172.31.57.168:5000/custom-predictor:v5"
21m         Normal    Pulled             pod/v2-ours-90-1                    Successfully pulled image "172.31.57.168:5000/model-ballast:estargz-140g" in 125ms (125ms including waiting). Image size: 150374663046 bytes.
21m         Normal    Pulling            pod/v2-ours-90-1                    Pulling image "172.31.57.168:5000/model-ballast:estargz-140g"
21m         Warning   Unhealthy          pod/v2-ours-90-1                    Readiness probe failed: Get "http://10.244.0.17:8080/healthz": dial tcp 10.244.0.17:8080: connect: connection refused
