NAMESPACE   LAST SEEN   TYPE      REASON                   OBJECT                              MESSAGE
bench       19m         Warning   Failed                   pod/curl-runner-65d77865d8-8tsbk    Error: failed to create containerd container: error unpacking image: failed to extract layer (application/vnd.docker.image.rootfs.diff.tar.gzip sha256:c6a83fedfae6ed8a4f5f7cbb6a7b6f1c1ec3d86fea8cb9e5ba2e5e6673fde9f6) to stargz as "extract-771254843-TXBP sha256:78561cef0761903dd2f7d09856150a6d4fb48967a8f113f3e33d79effbf59a07": failed to get reader from content store: content digest sha256:c6a83fedfae6ed8a4f5f7cbb6a7b6f1c1ec3d86fea8cb9e5ba2e5e6673fde9f6: not found
bench       18m         Normal    Pulled                   pod/s2-probe                        Container image "172.31.48.227:5000/model-ballast:estargz-140g" already present on machine and can be accessed by the pod
bench       18m         Normal    Killing                  pod/s2-probe                        Stopping container predictor
bench       18m         Warning   Unhealthy                pod/s2-probe                        Readiness probe failed: Get "http://10.244.0.32:8080/healthz": dial tcp 10.244.0.32:8080: connect: connection refused
bench       17m         Normal    Created                  pod/s1-probe                        Container created
bench       17m         Normal    Pulled                   pod/s1-probe                        Container image "172.31.48.227:5000/custom-predictor:v4" already present on machine and can be accessed by the pod
bench       17m         Normal    Scheduled                pod/s1-probe                        Successfully assigned bench/s1-probe to ocibench-control-plane
bench       17m         Normal    Started                  pod/s1-probe                        Container started
bench       17m         Normal    Pulled                   pod/s1-probe                        Container image "172.31.48.227:5000/model-ballast:estargz-140g" already present on machine and can be accessed by the pod
bench       16m         Normal    Killing                  pod/s1-probe                        Stopping container predictor
bench       16m         Warning   Unhealthy                pod/s1-probe                        Readiness probe failed: Get "http://10.244.0.33:8080/healthz": dial tcp 10.244.0.33:8080: connect: connection refused
bench       16m         Warning   Unhealthy                pod/s1-probe                        Readiness probe failed: Get "http://10.244.0.33:8080/healthz": context deadline exceeded (Client.Timeout exceeded while awaiting headers)
bench       16m         Normal    Created                  pod/s1-probe                        Container created
bench       16m         Normal    Pulled                   pod/s1-probe                        Container image "172.31.48.227:5000/custom-predictor:v4" already present on machine and can be accessed by the pod
bench       16m         Normal    Started                  pod/s1-probe                        Container started
bench       16m         Normal    Scheduled                pod/s1-probe                        Successfully assigned bench/s1-probe to ocibench-control-plane
bench       15m         Normal    Pulled                   pod/s1-probe                        Container image "172.31.48.227:5000/model-ballast:estargz-140g" already present on machine and can be accessed by the pod
bench       15m         Normal    Killing                  pod/s1-probe                        Stopping container predictor
bench       14m         Warning   Unhealthy                pod/s1-probe                        Readiness probe failed: Get "http://10.244.0.34:8080/healthz": dial tcp 10.244.0.34:8080: connect: connection refused
bench       14m         Normal    Pulled                   pod/s2-probe                        Container image "172.31.48.227:5000/custom-predictor:v4" already present on machine and can be accessed by the pod
